dataset,column,demo_group,data_category,assigned_role,pin,unit,used_in_views,dtype,fill_pct,n_distinct,numeric_pct,note,field_explanation
agriculture,season,Crop/Activity,Crop/Agriculture,dim,,,view1_scheme_benefits; view3_agri_crop,str,100.0,2,0.0,,Crop season (Kharif/Rabi/Summer)
agriculture,seed_production,Produce/Qty,Crop/Agriculture,measure,,,,float64,100.0,1020,100.0,,Seed production flag -- whether crop is for seed production (certified seed multiplication)
agriculture,seedvarietyname,Crop/Activity,Crop/Agriculture,dim,,,,str,100.0,20,0.0,"in scope but DROPPED from view3: 20 values = cropnameeng x {BPT-5204, MTU-1010}; both are paddy varieties assigned to every crop, so the column is crop name plus a meaningless binary suffix (data defect, reported not fixed)","Seed variety name (e.g., BPT-5204, MTU-1010, JGL-17004)"
agriculture,smsmobileno,Identity,Farmer Identity,excluded_pii,,,,str,100.0,652,100.0,Identity: personal identifier,SMS mobile number -- alternate number for advisory/alerts
agriculture,social_status,Identity,Farmer Category,dim,caste,,view1_scheme_benefits; view3_agri_crop,str,100.0,4,0.0,,Social status (SC/ST/BC-A/BC-B/BC-C/BC-D/OC/Minority)
agriculture,socialstatus,Identity,Farmer Category,excluded_duplicate,,,,str,100.0,4,0.0,"near-duplicate of `social_status` (identical values, 1,114/1,114); kept `social_status` per handoff",Social status/caste category of farmer
agriculture,subsidyamount,Benefit/Amount,Subsidy/Input Distribution,measure,benefit,INR,view1_scheme_benefits; view3_agri_crop; view7_input_to_market,float64,100.0,1114,100.0,,Government subsidy amount (INR) -- seed/input subsidy share
agriculture,surveyno,Land,Land/Irrigation,excluded_nonnumeric,,,,str,100.0,652,0.0,Land column only 0.0% numeric - not usable as a measure,Survey number -- land parcel identifier from revenue records
agriculture,varietyname,Crop/Activity,Crop/Agriculture,dim,,,,str,100.0,40,0.0,,Crop/seed variety name
fisheries,AadharNo,Identity,Fisher Identity,excluded_pii,,,,str,100.0,627,100.0,Identity: personal identifier,Aadhaar number
fisheries,Base_Survey_No,Land,Land/Survey,dim,,,,str,100.0,10,0.0,Land column holding a 10-value categorical (0.0% numeric) - re-roled to dim,Land/survey record field
fisheries,Cultivatable_land,Land,General,measure,,,,float64,100.0,346,100.0,,Cultivatable Land — fisheries operational field
fisheries,EXTENT,Land,Land/Survey,measure,landholding,acres,view1_scheme_benefits,float64,100.0,380,100.0,,Extent — fisheries operational field
fisheries,EXTENT 3B,Land,Land/Survey,measure,,,,float64,100.0,412,100.0,,Extent 3B — fisheries operational field
fisheries,Khata_No,Land,Land/Survey,measure,,,,str,100.0,627,100.0,,Khata number
fisheries,Occupant_Extent,Land,Land/Survey,measure,,,,float64,100.0,404,100.0,,Occupant Extent — fisheries operational field
fisheries,Occupant_Father_Name,Identity,Fisher Identity,excluded_pii,,,,str,100.0,10,0.0,Identity: personal identifier,Name field
fisheries,Pattadar_Father_Name,Identity,Fisher Identity,excluded_pii,,,,str,100.0,10,0.0,Identity: personal identifier,Name field
fisheries,Production_capacity_in_MT,Produce/Qty,Aquaculture/Farm,measure,,,,int64,100.0,120,100.0,,Production Capacity In Mt — fisheries operational field
fisheries,Survey_No,Land,Land/Survey,excluded_nonnumeric,,,,str,100.0,627,0.0,Land column only 0.0% numeric - not usable as a measure,Survey number
fisheries,Total_Extent,Land,Land/Survey,measure,,,,float64,100.0,380,100.0,,Total Extent — fisheries operational field
fisheries,Uncultivated_Land,Land,General,dim,,,,str,100.0,10,0.0,Land column holding a 10-value categorical (0.0% numeric) - re-roled to dim,Uncultivated Land — fisheries operational field
fisheries,aadhar_no,Identity,Fisher Identity,key_aadhaar,aadhaar,,view1_scheme_benefits,str,100.0,627,100.0,,Aadhaar number
fisheries,aadhar_number,Identity,Fisher Identity,excluded_pii,,,,str,100.0,627,100.0,Identity: personal identifier,Aadhaar number
fisheries,aadhar_sha_512,Identity,Fisher Identity,excluded_pii,,,,str,100.0,627,100.0,Identity: personal identifier,Aadhaar SHA-512 hash
fisheries,aadhar_status,Identity,Fisher Identity,excluded_pii,,,,str,100.0,1,0.0,Identity: personal identifier,Aadhaar verification status
fisheries,account_approve,Bank/DBT,Application/Workflow,excluded_bank,,,,int64,100.0,120,100.0,Bank/DBT group — payment-instrument PII,Banking field
fisheries,actual_extent,Land,Land/Survey,measure,,,,float64,100.0,407,100.0,,Actual Extent — fisheries operational field
fisheries,amount,Benefit/Amount,Payment/Banking,measure,benefit,INR,view1_scheme_benefits,float64,100.0,627,100.0,,Amount (INR)
fisheries,amount_old,Benefit/Amount,Payment/Banking,measure,,,,int64,100.0,597,100.0,,Payment/financial field
fisheries,amount_paid,Benefit/Amount,Payment/Banking,measure,,,,float64,100.0,548,100.0,,Amount paid
fisheries,annual_production,Produce/Qty,Aquaculture/Farm,measure,,,,float64,100.0,577,100.0,,Annual production (MT)
fisheries,api_status,Status,General,dim,,,,str,100.0,3,0.0,,Status field
fisheries,applicant_district,Geography,Geographic,dim,,,,str,100.0,13,0.0,,Geographic field
fisheries,applicant_name,Identity,Fisher Identity,excluded_pii,,,,str,100.0,378,0.0,Identity: personal identifier,Applicant name
fisheries,applicant_name_te,Identity,Fisher Identity,excluded_pii,,,,str,100.0,117,0.0,Identity: personal identifier,Applicant name (Telugu)
fisheries,applicant_name_telugu,Identity,Fisher Identity,excluded_pii,,,,str,100.0,120,0.0,Identity: personal identifier,Applicant name (Telugu)
fisheries,applicant_ration_form,Identity,General,excluded_pii,,,,str,100.0,10,0.0,Identity: not a demographic attribute,Applicant Ration Form — fisheries operational field
fisheries,applicant_status,Status,General,dim,,,,str,100.0,3,0.0,,Status field
fisheries,applicant_village_ward,Geography,Fisher Identity,dim,,,,str,100.0,10,0.0,,Geographic field
fisheries,application_approved_status,Status,Application/Workflow,dim,,,,str,100.0,3,0.0,,Application approval status
fisheries,application_status,Status,Application/Workflow,dim,,,,str,100.0,3,0.0,,Application status
fisheries,approve_status,Status,Application/Workflow,dim,,,,str,100.0,3,0.0,,Approval status
fisheries,aqua_culture_activity,Crop/Activity,Aquaculture/Farm,dim,,,,str,100.0,10,0.0,,Aqua culture activity
fisheries,aquaculture_activity,Crop/Activity,Aquaculture/Farm,dim,,,,str,100.0,10,0.0,,Aquaculture activity type
fisheries,assessment_year,Crop/Activity,General,dim,,,,int64,100.0,465,100.0,,Assessment Year — fisheries operational field
fisheries,authorzied_person_aadhar_number,Identity,Fisher Identity,excluded_pii,,,,str,100.0,10,100.0,Identity: personal identifier,Aadhaar-related field
fisheries,authorzied_person_aadhar_number_temp,Identity,Fisher Identity,excluded_pii,,,,str,100.0,10,100.0,Identity: personal identifier,Aadhaar-related field
fisheries,authorzied_person_district_val,Geography,Geographic,dim,,,,str,100.0,10,0.0,,Geographic field
fisheries,authorzied_person_pincode_val,Geography,Geographic,dim,,,,str,100.0,10,100.0,,Geographic field
fisheries,authorzied_person_village_val,Geography,Fisher Identity,dim,,,,str,100.0,10,0.0,,Geographic field
fisheries,ayakat_extent,Land,Land/Survey,measure,,,,float64,100.0,403,100.0,,Ayakat Extent — fisheries operational field
fisheries,bank_account_number,Bank/DBT,Payment/Banking,excluded_bank,,,,str,100.0,626,100.0,Bank/DBT group — payment-instrument PII,Bank account number
fisheries,base_of_operation,Identity,General,excluded_pii,,,,str,100.0,10,0.0,Identity: not a demographic attribute,Base Of Operation — fisheries operational field
fisheries,bunk_area_of_operation,Identity,HSD Oil Subsidy,excluded_pii,,,,float64,100.0,627,100.0,Identity: not a demographic attribute,Bunk area of operation
fisheries,bunk_area_of_operation_code,Identity,HSD Oil Subsidy,excluded_pii,,,,float64,100.0,624,100.0,Identity: not a demographic attribute,HSD oil subsidy/bunk field
fisheries,bunk_district,Geography,Geographic,dim,,,,str,100.0,10,0.0,,Bunk district
fisheries,bunk_district_code,Geography,Geographic,dim,,,,int64,100.0,13,100.0,,HSD oil subsidy/bunk field
fisheries,bunk_mandal,Geography,Geographic,dim,,,,str,100.0,10,0.0,,Bunk mandal location
fisheries,bunk_mandal_code,Geography,Geographic,dim,,,,int64,100.0,488,100.0,,HSD oil subsidy/bunk field
fisheries,bunk_operator_aadhaar_ref_id,Identity,Fisher Identity,excluded_pii,,,,str,100.0,10,100.0,Identity: personal identifier,Bunk operator Aadhaar
fisheries,bunk_operator_mobile_no,Identity,Fisher Identity,excluded_pii,,,,str,100.0,10,100.0,Identity: personal identifier,Bunk operator mobile
fisheries,bunk_owner_bank_account_name,Bank/DBT,HSD Oil Subsidy,excluded_bank,,,,int64,100.0,119,100.0,Bank/DBT group — payment-instrument PII,Bunk owner bank account name
fisheries,bunk_owner_bank_account_number,Bank/DBT,HSD Oil Subsidy,excluded_bank,,,,str,100.0,10,100.0,Bank/DBT group — payment-instrument PII,Bunk owner bank account number
fisheries,card_blocked,Geography,General,dim,,,,int64,100.0,474,100.0,,Card Blocked — fisheries operational field
fisheries,card_gopayment_status,Benefit/Amount,Payment/Banking,dim,,,,str,100.0,3,0.0,Benefit/Amount column holding a 3-value categorical (0.0% numeric) - re-roled to dim,Payment/financial field
fisheries,card_status,Status,HSD Oil Subsidy,dim,,,,str,100.0,3,0.0,,Card active status
fisheries,caste,Identity,Fisher Identity,dim,caste,,view1_scheme_benefits,str,100.0,4,0.0,,Caste/social category
fisheries,category_of_experience,Identity,General,dim,,,,str,100.0,10,0.0,,Category Of Experience — fisheries operational field
fisheries,census_villagecode,Geography,Fisher Identity,dim,,,,int64,100.0,626,100.0,,Geographic field
fisheries,comm_district_text,Geography,Geographic,dim,,,,str,100.0,13,0.0,,Geographic field
fisheries,comm_mandal_text,Geography,Geographic,dim,,,,str,100.0,25,0.0,,Geographic field
fisheries,communication_district,Geography,Geographic,dim,,,,str,100.0,13,0.0,,Geographic field
fisheries,communication_mandal,Geography,Geographic,dim,,,,str,100.0,25,0.0,,Geographic field
fisheries,communication_pincode,Geography,Geographic,dim,,,,str,100.0,10,100.0,,Geographic field
fisheries,communication_village,Geography,Fisher Identity,dim,,,,str,100.0,38,0.0,,Geographic field
fisheries,cron_job_status,Status,Audit/System,dim,,,,str,100.0,3,0.0,,Status field
fisheries,cron_status,Status,Audit/System,dim,,,,str,100.0,3,0.0,,Status field
fisheries,cultivation_land,Land,Land/Survey,measure,,,,float64,100.0,341,100.0,,Cultivation land area
fisheries,daily_price,Benefit/Amount,HSD Oil Subsidy,measure,,,,int64,100.0,595,100.0,,Daily fuel price
fisheries,date_of_birth,Identity,Fisher Identity,excluded_pii,,,,str,100.0,617,0.0,Identity: personal identifier,Date of birth
fisheries,declaration,Identity,General,excluded_pii,,,,str,100.0,10,0.0,Identity: personal identifier,Declaration — fisheries operational field
fisheries,dist_code,Geography,General,dim,,,,int64,100.0,13,100.0,,District code
fisheries,dist_code_old,Geography,General,dim,,,,int64,100.0,13,100.0,,Dist Code Old — fisheries operational field
fisheries,dist_name,Geography,General,dim,,,,str,100.0,13,0.0,,District name
fisheries,district,Geography,Geographic,dim,district,,view1_scheme_benefits,str,100.0,13,0.0,,District name
fisheries,district_code,Geography,Geographic,dim,,,,int64,100.0,13,100.0,,District code
fisheries,district_code_old,Geography,Geographic,dim,,,,int64,100.0,13,100.0,,Geographic field
fisheries,district_id,Geography,Geographic,dim,,,,int64,100.0,13,100.0,,District ID
fisheries,district_id_old,Geography,Geographic,dim,,,,int64,100.0,13,100.0,,Geographic field
fisheries,district_name,Geography,Geographic,dim,,,,str,100.0,13,0.0,,District name
fisheries,district_telu_name,Geography,Geographic,dim,,,,str,100.0,10,0.0,,Geographic field
fisheries,district_telugu_name,Geography,Geographic,dim,,,,str,100.0,10,0.0,,Geographic field
fisheries,dob,Identity,Fisher Identity,excluded_pii,,,,str,100.0,617,0.0,Identity: personal identifier,Date of birth
fisheries,eligible_litres,Status,HSD Oil Subsidy,dim,,,,int64,100.0,477,100.0,,Eligible litres of subsidized fuel
fisheries,etp_extent,Land,Aquaculture/Farm,measure,,,,float64,100.0,402,100.0,,ETP area extent
fisheries,farm_survey_no_details_id,Land,Land/Survey,dim,,,,str,100.0,10,0.0,Land column holding a 10-value categorical (0.0% numeric) - re-roled to dim,Farm survey number details ID
fisheries,farmer_district,Geography,Geographic,dim,,,,str,100.0,13,0.0,,Farm/aquaculture field
fisheries,farmer_name,Identity,Fisher Identity,excluded_pii,,,,str,100.0,378,0.0,Identity: personal identifier,Fisher/farmer name
fisheries,farmer_pincode,Geography,Geographic,dim,,,,str,100.0,10,100.0,,Farm/aquaculture field
fisheries,farmer_village_ward,Geography,Fisher Identity,dim,,,,str,100.0,10,0.0,,Farm/aquaculture field
fisheries,fasli_year,Crop/Activity,Land/Survey,dim,,,,int64,100.0,476,100.0,,Fasli Year — fisheries operational field
fisheries,father_name,Identity,Fisher Identity,excluded_pii,,,,str,100.0,55,0.0,Identity: personal identifier,Father/guardian name
fisheries,fcs_jurisdiction_district,Geography,Geographic,dim,,,,str,100.0,13,0.0,,Fishermen Cooperative Society field
fisheries,fcs_jurisdiction_mandal,Geography,Geographic,dim,,,,str,100.0,25,0.0,,Fishermen Cooperative Society field
fisheries,fcs_jurisdiction_secretariat,Geography,Geographic,dim,,,,str,100.0,10,0.0,,Fishermen Cooperative Society field
fisheries,fcs_jurisdiction_village,Geography,Fisher Identity,dim,,,,str,100.0,38,0.0,,Fishermen Cooperative Society field
fisheries,fcs_member_district,Geography,Geographic,dim,,,,str,100.0,13,0.0,,Fishermen Cooperative Society field
fisheries,fcs_member_mandal,Geography,Geographic,dim,,,,str,100.0,25,0.0,,Fishermen Cooperative Society field
fisheries,fcs_member_secretariat,Geography,Geographic,dim,,,,int64,100.0,482,100.0,,Fishermen Cooperative Society field
fisheries,fcs_member_village,Geography,Fisher Identity,dim,,,,str,100.0,38,0.0,,Fishermen Cooperative Society field
fisheries,fcs_registration_date,Identity,FCS (Cooperative),excluded_pii,,,,str,100.0,384,0.0,Identity: not a demographic attribute,FCS registration date
fisheries,fcs_registration_no,Identity,FCS (Cooperative),excluded_pii,,,,str,100.0,627,0.0,Identity: personal identifier,FCS registration number
fisheries,fcs_society_operation_date,Identity,FCS (Cooperative),excluded_pii,,,,str,100.0,424,0.0,Identity: not a demographic attribute,Fishermen Cooperative Society field
fisheries,fcs_status,Status,FCS (Cooperative),dim,,,,str,100.0,3,0.0,,FCS status
fisheries,fcs_type_status,Status,FCS (Cooperative),dim,,,,str,100.0,3,0.0,,Fishermen Cooperative Society field
fisheries,fdo_approval_status,Status,General,dim,,,,str,100.0,3,0.0,,Status field
fisheries,gender,Identity,Fisher Identity,dim,,,view1_scheme_benefits,str,100.0,2,0.0,,Gender
fisheries,gram_panchayat,Geography,Geographic,dim,,,,str,100.0,10,0.0,,Gram Panchayat name
fisheries,gram_panchayat_mandal_oth,Geography,Geographic,dim,,,,str,100.0,25,0.0,,Geographic field
fisheries,gram_panchayat_oth,Geography,Geographic,dim,,,,str,100.0,10,0.0,,Gram Panchayat Oth — fisheries operational field
fisheries,grama_panchayat_code,Geography,Geographic,dim,,,,int64,100.0,625,100.0,,Gram Panchayat code
fisheries,grama_panchayat_code_old,Geography,Geographic,dim,,,,int64,100.0,627,100.0,,Grama Panchayat Code Old — fisheries operational field
fisheries,grama_panchayat_id,Geography,Geographic,dim,,,,int64,100.0,625,100.0,,Identifier/key
fisheries,grama_panchayat_name,Geography,Geographic,dim,,,,str,100.0,10,0.0,,Grama Panchayat name
fisheries,gsw_district_code,Geography,Geographic,dim,,,,int64,100.0,13,100.0,,Geographic field
fisheries,gsws_district_code_old,Geography,Geographic,dim,,,,int64,100.0,13,100.0,,Geographic field
fisheries,gsws_mcode,Geography,General,dim,,,,int64,100.0,481,100.0,,Gsws Mcode — fisheries operational field
fisheries,gsws_secretariate_id,Geography,Geographic,dim,,,,int64,100.0,625,100.0,,Geographic field
fisheries,hsd_oil_allowed_quota_mc_vessel,Crop/Activity,Vessel/Boat,dim,,,,int64,100.0,461,100.0,,HSD oil quota for mechanized vessel
fisheries,hsd_oil_allowed_quota_mo_vessel,Crop/Activity,Vessel/Boat,dim,,,,int64,100.0,471,100.0,,HSD oil quota for motorized vessel
fisheries,hsd_oil_is_price_active,Benefit/Amount,HSD Oil Subsidy,measure,,,,int64,100.0,588,100.0,,HSD oil subsidy/bunk field
fisheries,hsd_oil_price_effective_from,Benefit/Amount,HSD Oil Subsidy,temporal_dim,,,,str,100.0,495,0.0,Benefit/Amount column holding ISO dates (100.0% parse) - re-roled to temporal,HSD oil subsidy/bunk field
fisheries,hsd_oil_price_per_liter,Benefit/Amount,HSD Oil Subsidy,measure,,,,int64,100.0,595,100.0,,HSD oil price per liter
fisheries,hsd_oil_price_valid_till,Benefit/Amount,HSD Oil Subsidy,measure,,,,int64,100.0,595,100.0,,HSD oil subsidy/bunk field
fisheries,hsd_oil_rate_of_subsidy,Benefit/Amount,HSD Oil Subsidy,measure,,,,int64,100.0,21,100.0,,HSD oil subsidy rate
fisheries,ifsc_code,Bank/DBT,Payment/Banking,excluded_bank,,,,str,100.0,627,0.0,Bank/DBT group — payment-instrument PII,Bank IFSC code
fisheries,individual_district,Geography,Geographic,dim,,,,int64,100.0,486,100.0,,Geographic field
fisheries,individual_mandal,Geography,Geographic,dim,,,,str,100.0,10,0.0,,Geographic field
fisheries,individual_secretariat,Geography,Geographic,dim,,,,int64,100.0,473,100.0,,Geographic field
fisheries,individual_village,Geography,Fisher Identity,dim,,,,str,100.0,10,0.0,,Geographic field
fisheries,inland_grama_panchayat,Geography,Geographic,dim,,,,str,100.0,10,0.0,,Inland Grama Panchayat — fisheries operational field
fisheries,inland_jurisdiction_district,Geography,Geographic,dim,,,,str,100.0,13,0.0,,Geographic field
fisheries,inland_jurisdiction_mandal,Geography,Geographic,dim,,,,str,100.0,25,0.0,,Geographic field
fisheries,inland_jurisdiction_secretariat,Geography,Geographic,dim,,,,str,100.0,10,0.0,,Geographic field
fisheries,inland_jurisdiction_village,Geography,Fisher Identity,dim,,,,str,100.0,38,0.0,,Geographic field
fisheries,inland_landing_survey_number,Land,Inland Water Body,dim,,,,str,100.0,10,0.0,Land column holding a 10-value categorical (0.0% numeric) - re-roled to dim,Land/survey record field
fisheries,inland_landing_village,Geography,Fisher Identity,dim,,,,str,100.0,38,0.0,,Geographic field
fisheries,inland_seasonality,Crop/Activity,Inland Water Body,dim,,,,str,100.0,2,0.0,,Seasonality (Perennial/Seasonal)
fisheries,is_aadhaar_tallied,Identity,Fisher Identity,excluded_pii,,,,int64,100.0,470,100.0,Identity: personal identifier,Aadhaar-related field
fisheries,is_granting_appeal_pending,Benefit/Amount,Flags,measure,,,,int64,100.0,603,100.0,,Boolean flag
fisheries,is_ownership_lease_hold,Land,Lease,measure,,,,int64,100.0,475,100.0,,Lease/rental field
fisheries,khata_number,Land,Land/Survey,measure,,,,str,100.0,627,100.0,,Khata number (revenue record)
fisheries,land_assignee_aadhar,Identity,Fisher Identity,excluded_pii,,,,str,100.0,627,100.0,Identity: personal identifier,Aadhaar-related field
fisheries,land_assignee_district,Geography,Geographic,dim,,,,int64,100.0,485,100.0,,Geographic field
fisheries,land_assignee_mandal,Geography,Geographic,dim,,,,str,100.0,10,0.0,,Geographic field
fisheries,land_assignee_pincode,Geography,Geographic,dim,,,,str,100.0,10,100.0,,Geographic field
fisheries,land_assignee_secretariat,Geography,Geographic,dim,,,,str,100.0,10,0.0,,Geographic field
fisheries,land_assignee_village,Geography,Fisher Identity,dim,,,,str,100.0,10,0.0,,Geographic field
fisheries,lc_status,Status,General,dim,,,,str,100.0,3,0.0,,Status field
fisheries,lease_amount,Benefit/Amount,Lease,measure,,,,int64,100.0,598,100.0,,Lease amount
fisheries,licenseappl_district,Geography,Geographic,dim,,,,str,100.0,13,0.0,,License/permit field
fisheries,licenseappl_mandal,Geography,Geographic,dim,,,,str,100.0,25,0.0,,License/permit field
fisheries,licenseappl_village,Geography,Fisher Identity,dim,,,,str,100.0,38,0.0,,License/permit field
fisheries,lpm_extent,Land,Land/Survey,measure,,,,float64,100.0,406,100.0,,Land/survey record field
fisheries,lpm_khata_no,Land,Land/Survey,measure,,,,str,100.0,10,100.0,,Land/survey record field
fisheries,mandal,Geography,Geographic,dim,,,,str,100.0,25,0.0,,Mandal name
fisheries,mandal_code,Geography,Geographic,dim,,,,int64,100.0,25,100.0,,Mandal code
fisheries,mandal_id,Geography,Geographic,dim,,,,int64,100.0,494,100.0,,Mandal ID
fisheries,mandal_name,Geography,Geographic,dim,,,,str,100.0,25,0.0,,Mandal name
fisheries,mandal_telugu_name,Geography,Geographic,dim,,,,str,100.0,119,0.0,,Geographic field
fisheries,manual_total_cultivation_land,Land,Land/Survey,measure,,,,float64,100.0,626,100.0,,Manual Total Cultivation Land — fisheries operational field
fisheries,marine_status,Status,General,dim,,,,str,100.0,3,0.0,,Status field
fisheries,member_name,Identity,Fisher Identity,excluded_pii,,,,str,100.0,378,0.0,Identity: personal identifier,FCS member name
fisheries,member_status,Status,FCS (Cooperative),dim,,,,str,100.0,3,0.0,,Status field
fisheries,merge_status,Status,General,dim,,,,str,100.0,3,0.0,,Status field
fisheries,mobile_no,Identity,Fisher Identity,excluded_pii,,,,str,100.0,627,100.0,Identity: personal identifier,Mobile number
fisheries,mobile_number,Identity,Fisher Identity,excluded_pii,,,,str,100.0,627,100.0,Identity: personal identifier,Mobile number
fisheries,nic_district,Geography,Geographic,dim,,,,str,100.0,13,0.0,,Geographic field
fisheries,nic_district_code,Geography,Geographic,dim,,,,int64,100.0,13,100.0,,Geographic field
fisheries,nic_mandal,Geography,Geographic,dim,,,,str,100.0,25,0.0,,Geographic field
fisheries,nic_mandal_code,Geography,Geographic,dim,,,,int64,100.0,481,100.0,,Geographic field
fisheries,nic_secretariat,Geography,Geographic,dim,,,,str,100.0,10,0.0,,Geographic field
fisheries,nic_village,Geography,Fisher Identity,dim,,,,str,100.0,38,0.0,,Geographic field
fisheries,occupant_name,Identity,General,excluded_pii,,,,str,100.0,378,0.0,Identity: personal identifier,Name field
fisheries,old_caa_registration_no,Identity,General,excluded_pii,,,,str,100.0,10,0.0,Identity: personal identifier,Old Caa Registration No — fisheries operational field
fisheries,old_mobile_numer,Identity,Fisher Identity,excluded_pii,,,,str,100.0,627,100.0,Identity: personal identifier,Old Mobile Numer — fisheries operational field
fisheries,old_total_acres,Land,General,measure,,,,float64,100.0,411,100.0,,Old Total Acres — fisheries operational field
fisheries,old_vessel_reg_no,Crop/Activity,Vessel/Boat,dim,,,,str,100.0,10,0.0,,Vessel/boat field
fisheries,operational_capacity,Identity,General,excluded_pii,,,,float64,100.0,319,100.0,Identity: not a demographic attribute,Operational Capacity — fisheries operational field
fisheries,original_cultivation_land,Land,Land/Survey,measure,,,,float64,100.0,625,100.0,,Original Cultivation Land — fisheries operational field
fisheries,owner_aadhar_number,Identity,Fisher Identity,excluded_pii,,,,str,100.0,10,100.0,Identity: personal identifier,Aadhaar-related field
fisheries,owner_father_name,Identity,Fisher Identity,excluded_pii,,,,str,100.0,10,0.0,Identity: personal identifier,Owner's father name
fisheries,owner_mobile_number,Identity,Fisher Identity,excluded_pii,,,,str,100.0,10,100.0,Identity: personal identifier,Owner Mobile Number — fisheries operational field
fisheries,ownership_right,Land,General,measure,,,,int64,100.0,465,100.0,,Ownership Right — fisheries operational field
fisheries,pattadar_name,Identity,Land/Survey,excluded_pii,,,,str,100.0,378,0.0,Identity: personal identifier,Pattadar (land title holder) name
fisheries,pattadhar_extent,Land,Land/Survey,measure,,,,float64,100.0,402,100.0,,Pattadar land extent
fisheries,payment_count,Benefit/Amount,Payment/Banking,measure,,,,int64,100.0,120,100.0,,Payment/financial field
fisheries,payment_per_att,Benefit/Amount,Payment/Banking,dim,,,,str,100.0,10,0.0,Benefit/Amount column holding a 10-value categorical (0.0% numeric) - re-roled to dim,Payment/financial field
fisheries,payment_status,Benefit/Amount,Payment/Banking,dim,status,,view1_scheme_benefits,str,100.0,3,0.0,,Payment status
fisheries,payment_type,Benefit/Amount,Payment/Banking,dim,,,,str,100.0,10,0.0,Benefit/Amount column holding a 10-value categorical (0.0% numeric) - re-roled to dim,Payment type
fisheries,pincode,Geography,Geographic,dim,,,,str,100.0,10,100.0,,PIN code
